-11	28
-14	16
-16	2
9	-16
17	-22
15	-19
13	24
6	-15
1	11
12	-30
-3	-12
-16	-14
-7	11
11	18
13	13
11	3
13	24
-15	21
12	8
17	-14
-1	17
16	28
17	-23
-9	29
-2	-28
16	-15
-16	-23
20	26
-12	15
-19	-28
5	7
-10	-4
-18	17
11	17
-16	23
-20	-20
-5	-12
-11	-23
17	4
-7	-2
-17	-20
-3	0
19	14
-1	20
-11	1
-2	-10
15	-3
14	24
-18	-11
-16	-29
20	-21
17	-22
-17	15
1	-29
-8	-26
19	19
-15	27
-8	9
17	10
-13	1
7	-17
13	13
-3	-17
-19	30
-15	10
-11	-1
7	21
-14	-14
3	-13
-9	-9
8	6
20	-7
-16	18
5	-25
-16	-21
11	26
3	-24
3	-20
-7	23
6	-21
17	-8
0	-19
18	-17
-4	6
13	1
4	15
-14	-7
-1	-16
17	5
-1	25
7	-8
-13	-14
-10	7
-18	-17
15	30
3	6
-13	-29
-9	13
19	-21
16	4
16	-26
-11	24
-16	23
17	5
-16	3
18	27
-16	24
-8	-6
3	-24
-18	5
18	-7
1	-25
8	0
7	4
13	-14
2	5
13	7
17	2
-4	15
19	6
-14	20
-5	-3
-13	18
13	7
9	5
-4	-29
13	4
3	17
12	9
-6	-8
-4	20
0	19
-9	8
-16	-13
-10	24
15	26
-16	-12
-6	4
-18	-30
4	4
10	-28
-11	-25
-19	-7
-7	14
4	24
2	-21
15	23
8	30
-4	16
-14	-24
-11	-13
-16	19
-2	-9
0	5
-3	9
-8	-17
6	6
3	21
7	6
12	8
-1	-21
6	-21
-19	-14
2	26
-12	-23
-19	5
7	-24
-9	3
11	18
20	-24
-15	-26
-19	20
-12	28
14	-6
-12	17
3	-1
18	-9
12	-12
5	30
-20	13
-1	5
6	18
-11	-20
-11	28
13	22
-12	2
8	21
14	8
-18	16
-20	15
-15	11
3	18
-11	25
-1	4
2	-15
17	19
0	-30
-19	3
0	-19
-13	-16
